,跨境数据传输总量_TB,数据中心数量,互联网国际出口带宽_Gbps,IaaS使用量_万核时,政务API调用量_亿次,数据交易额_亿元,GDP_亿元,数字经济核心产业增加值_亿元,研发经费投入_亿元,5G基站数量,算力规模_PFLOPS,物联网连接数_万个
跨境数据传输总量_TB,1.0,0.40128421197027586,0.5146276076270689,0.40269787908906685,0.43116963761615923,0.1879925506688883,0.6184295492959025,0.5948708100632438,0.5772555627324572,0.26337971166259766,0.3036030945415408,0.1767992424942178
数据中心数量,0.40128421197027586,1.0,0.6156690143401277,0.5384978988273605,0.10667460275615691,0.2735821915173711,0.5365409953088548,0.5398008873747981,0.47939247772371296,0.20255373804623875,0.14068112715621622,0.336258674710986
互联网国际出口带宽_Gbps,0.5146276076270689,0.6156690143401277,1.0,0.44473652162479727,0.43358627302260405,0.3627870052142649,0.6599150435343333,0.6990910077798811,0.6246399689911154,0.2642427657113672,0.4369925448616871,0.47782349596865703
IaaS使用量_万核时,0.40269787908906685,0.5384978988273605,0.44473652162479727,1.0,0.35225696516413446,0.17226513525352255,0.5025516322282905,0.511654970348933,0.46077940296019565,0.25164634756760396,0.09733825284455928,0.2765358322925145
政务API调用量_亿次,0.43116963761615923,0.10667460275615691,0.43358627302260405,0.35225696516413446,1.0,0.18299182437169498,0.5704953697359627,0.595012610409609,0.6064288622457444,0.11948159715005711,0.3287288741787702,0.180370761879825
数据交易额_亿元,0.1879925506688883,0.2735821915173711,0.3627870052142649,0.17226513525352255,0.18299182437169498,1.0,0.40725486513460046,0.45335862716550834,0.4006530114899069,0.07608112939740867,0.009087917671649607,0.3754881450110235
GDP_亿元,0.6184295492959025,0.5365409953088548,0.6599150435343333,0.5025516322282905,0.5704953697359627,0.40725486513460046,1.0,0.9866358552099747,0.9870555446956402,0.4012523581919243,0.38790961616759845,0.4981439740456342
数字经济核心产业增加值_亿元,0.5948708100632438,0.5398008873747981,0.6990910077798811,0.511654970348933,0.595012610409609,0.45335862716550834,0.9866358552099747,1.0,0.9796035839365838,0.3907866164578483,0.3698308548591794,0.5156827807767164
研发经费投入_亿元,0.5772555627324572,0.47939247772371296,0.6246399689911154,0.46077940296019565,0.6064288622457444,0.4006530114899069,0.9870555446956402,0.9796035839365838,1.0,0.39331812129056987,0.37549979023658314,0.4809879160764012
5G基站数量,0.26337971166259766,0.20255373804623875,0.2642427657113672,0.25164634756760396,0.11948159715005711,0.07608112939740867,0.4012523581919243,0.3907866164578483,0.39331812129056987,1.0,0.09480262923137153,0.2458107373887369
算力规模_PFLOPS,0.3036030945415408,0.14068112715621622,0.4369925448616871,0.09733825284455928,0.3287288741787702,0.009087917671649607,0.38790961616759845,0.3698308548591794,0.37549979023658314,0.09480262923137153,1.0,0.1575700340478771
物联网连接数_万个,0.1767992424942178,0.336258674710986,0.47782349596865703,0.2765358322925145,0.180370761879825,0.3754881450110235,0.4981439740456342,0.5156827807767164,0.4809879160764012,0.2458107373887369,0.1575700340478771,1.0
