城市,入度中心性,出度中心性,总度中心性,特征向量中心性
香港,27527.972827498426,28329.46938554424,55857.44221304267,0.8845407297211999
澳门,9123.727221846419,7062.836572467144,16186.563794313563,0.073510911532615
广州,13861.887438965146,15852.481291423812,29714.36873038896,0.1845725314906798
深圳,17013.969230624232,15288.834117631655,32302.80334825589,0.27387571508725145
珠海,10237.606317582204,9967.615799786352,20205.222117368554,0.09072958700743304
佛山,12081.745705381223,16190.185872705531,28271.931578086755,0.22183019283970426
惠州,8344.532329148706,6415.769934971876,14760.302264120583,0.09671732225121527
东莞,9233.038117457147,9136.85815388351,18369.896271340658,0.12351387024952186
中山,6996.192202440611,7594.4379943416325,14590.630196782244,0.10628392343126515
江门,8647.711436657297,7207.257227418035,15854.968664075332,0.059907517956922576
肇庆,8187.052798514467,8209.689275942086,16396.742074456553,0.07857050709711122
